Date,Open,High,Low,Volume,Close
2002-08-16,235000,236000,231500,189101,233500
2002-08-19,234500,237500,229000,138139,233000
2002-08-20,237500,239500,235500,287750,236000
2002-08-21,234000,238000,232500,232381,234000
2002-08-22,234000,239500,231000,180955,236500
2002-08-23,239000,240500,235000,154611,235000
2002-08-26,231500,238500,231000,114301,235000
2002-08-27,235000,235000,228000,235067,228000
2002-08-28,228000,235000,228000,157625,230000
2002-08-29,230000,231500,225500,84048,231500
2002-08-30,231500,238000,229000,210734,236500
2002-09-02,237500,244500,236500,217181,244000
2002-09-03,243000,244500,237500,143223,237500
2002-09-04,234500,235500,228000,222679,231500
2002-09-05,234000,234000,228500,94196,229000
2002-09-06,227000,230500,225000,110124,226000
2002-09-09,226000,231000,226000,70361,228500
2002-09-10,229000,238500,229000,187453,237500
2002-09-11,240000,240500,236500,123661,240000
2002-09-12,240000,245000,237000,226040,245000
2002-09-13,239000,241000,237500,133420,238000
2002-09-16,241000,241000,230000,146000,232000
2002-09-17,236000,241500,234000,172140,240500
2002-09-18,231000,234000,229500,285964,232500
2002-09-19,231500,237500,231000,140160,232000
2002-09-23,227000,231000,225000,134540,226500
2002-09-24,225000,232500,225000,237103,230500
2002-09-25,229000,232000,223000,138389,225000
2002-09-26,229000,231000,225500,169042,228000
2002-09-27,226000,235000,226000,198390,235000
2002-09-30,234500,237000,230500,166138,237000
2002-10-01,235500,241000,232000,197776,240000
2002-10-02,244000,245000,237000,118941,237000
2002-10-04,239500,250500,239500,252869,245500
2002-10-07,246500,246500,240000,131836,242500
2002-10-08,244000,250000,244000,226320,249000
2002-10-09,251000,251000,243000,220747,243500
2002-10-10,239500,247000,231000,327614,231000
2002-10-11,240000,240000,225000,206687,230000
2002-10-14,237000,239000,232000,135379,232000
2002-10-15,234500,242000,233000,170267,239000
2002-10-16,239500,241500,235000,277020,237000
2002-10-17,232000,233000,224000,548354,228000
2002-10-18,230000,236500,230000,776530,233500
2002-10-21,227500,228000,224000,308946,224000
2002-10-22,226000,226500,216000,320918,220000
2002-10-23,215500,223000,213500,417604,220000
2002-10-24,220000,225000,217000,405352,223000
2002-10-25,219000,228500,219000,291428,224000
2002-10-28,226000,229000,225000,231763,227500
2002-10-29,223500,229500,221500,367878,229000
2002-10-30,227000,227000,223000,260058,224000
2002-10-31,226000,228500,222500,181541,225000
2002-11-01,222000,226500,220500,199339,222500
2002-11-04,226500,229000,225500,192983,225500
2002-11-05,223000,225500,220500,191380,220500
2002-11-06,222500,230000,222000,259244,230000
2002-11-07,226500,236500,224000,323809,231000
2002-11-08,227000,236500,227000,281273,236500
2002-11-11,232000,232000,225500,239003,226500
2002-11-12,222000,229000,221500,187770,226000
2002-11-13,229000,229000,220000,230845,224000
2002-11-14,228500,232000,227000,341163,229000
2002-11-15,239000,244000,235500,342142,242000
2002-11-18,242000,244000,236000,220506,238000
2002-11-19,234000,236500,233500,198339,235000
2002-11-20,234000,244000,231500,287352,241000
2002-11-21,245000,250500,242500,331596,243500
2002-11-22,248500,249000,245000,210750,245000
2002-11-25,247000,255500,245500,272759,252000
2002-11-26,253000,253000,245500,208720,247000
2002-11-27,241000,248500,241000,146909,245000
2002-11-28,248500,250500,245000,224008,247500
2002-11-29,243500,250000,243500,189080,248500
2002-12-02,248500,250000,245000,140425,248500
2002-12-03,246500,254000,246000,252903,250000
2002-12-04,248500,248500,246000,239755,247000
2002-12-05,248500,254000,246000,251944,251000
2002-12-06,251000,257500,249000,193152,252500
2002-12-09,252500,255000,248000,214125,248000
2002-12-10,244500,249000,243000,169174,247000
2002-12-11,247500,248000,243500,225837,244500
2002-12-12,244000,246500,242500,403885,246000
2002-12-13,242000,246000,240000,217049,243000
2002-12-16,237500,240000,236000,185854,238000
2002-12-17,240000,243000,240000,111398,242000
2002-12-18,239500,245000,237500,161897,243000
2002-12-20,240000,245000,239000,151904,243500
2002-12-23,246500,248000,241000,186642,243500
2002-12-24,243000,244000,238500,123651,240000
2002-12-26,238500,240500,237000,145174,239000
2002-12-27,234000,238000,232000,171876,233000
2002-12-30,231500,233000,219500,4674346,229000
2003-01-02,230000,231000,224000,177354,225000
2003-01-03,228000,230500,225000,372745,228000
2003-01-06,230000,231000,225500,244372,231000
2003-01-07,236000,236000,226000,257536,226000
2003-01-08,226500,230000,225000,160886,227000
2003-01-09,224000,225000,219500,355218,220000
2003-01-10,224000,225000,216000,4123655,220000
2003-01-13,220000,227500,220000,202872,227000
2003-01-14,229000,229000,224500,164499,228000
2003-01-15,231000,236000,230500,353088,235000
2003-01-16,231000,236000,229000,156996,232500
2003-01-17,227000,228500,222000,345908,226000
2003-01-20,226000,227000,222000,130369,226000
2003-01-21,227000,227500,221500,135596,226000
2003-01-22,225000,227000,215000,285179,218000
2003-01-23,198000,201500,185500,2631595,185500
2003-01-24,189000,191000,170000,1337300,178000
2003-01-27,174000,182000,172000,775747,180500
2003-01-28,176500,180000,173500,546098,180000
2003-01-29,177500,181500,172500,740964,173000
2003-01-30,175000,184000,175000,710135,179000
2003-02-03,179000,184000,176500,254524,183500
2003-02-04,184000,187000,180500,598422,183500
2003-02-05,182000,182500,179000,233089,181500
2003-02-06,182000,182500,165000,808280,170500
2003-02-07,167500,168500,157500,1034631,160500
2003-02-10,158500,164500,158500,565861,161000
2003-02-11,161500,164000,157500,628682,161000
2003-02-12,159000,164500,159000,262031,164500
2003-02-13,164500,165500,160500,303176,162500
2003-02-14,161000,165000,158500,257036,163000
2003-02-17,170000,176000,167500,394008,176000
2003-02-18,171000,172000,167000,426509,171000
2003-02-19,174000,174500,170500,438657,172000
2003-02-20,170000,172000,169500,234530,171500
2003-02-21,170000,171000,163000,360374,167000
2003-02-24,167000,175500,167000,489194,174000
2003-02-25,171000,172500,169000,239875,169000
2003-02-26,172500,174500,169500,291888,172000
2003-02-27,167000,170000,166500,302715,167000
2003-02-28,168000,169000,164000,211654,165000
2003-03-03,165500,170000,165000,203690,169500
2003-03-04,166500,168500,164000,147687,167000
2003-03-05,165000,166500,162500,276203,162500
2003-03-06,163500,165500,161500,181316,163000
2003-03-07,162000,163000,159000,245046,161000
2003-03-10,160000,163000,159000,151980,163000
2003-03-11,156500,160000,141000,876434,143000
