Date,Open,High,Low,Volume,Close
2017-12-04,105000.0,111200.0,103500.0,4043288.0,108200.0
2017-12-05,109000.0,109000.0,88700.0,8028477.0,90000.0
2017-12-06,93000.0,99600.0,89900.0,9918547.0,98300.0
2017-12-07,98900.0,102400.0,94500.0,5598464.0,96600.0
2017-12-08,97800.0,98800.0,88800.0,3754637.0,91200.0
2017-12-11,91200.0,93700.0,83300.0,5224245.0,89700.0
2017-12-12,90200.0,91700.0,85600.0,3802042.0,88000.0
2017-12-13,89400.0,92400.0,88200.0,3566029.0,89100.0
2017-12-14,90500.0,90500.0,84500.0,4352875.0,84900.0
2017-12-15,84700.0,89100.0,82000.0,5484558.0,87600.0
2017-12-18,89000.0,89300.0,81100.0,3058705.0,82500.0
2017-12-19,82200.0,84400.0,76200.0,7379031.0,84400.0
2017-12-20,83400.0,85300.0,79500.0,4343480.0,79500.0
2017-12-21,79200.0,81400.0,75600.0,4274996.0,75600.0
2017-12-22,75200.0,81700.0,73200.0,9468489.0,81000.0
2017-12-26,81300.0,85400.0,78500.0,7671506.0,79000.0
2017-12-27,90000.0,90200.0,83500.0,8818567.0,84700.0
2017-12-28,84800.0,94300.0,83000.0,7303047.0,93500.0
2018-01-02,95900.0,104000.0,93300.0,6824281.0,102500.0
2018-01-03,102600.0,104900.0,99500.0,4760150.0,103000.0
2018-01-04,102600.0,104000.0,92200.0,6538665.0,92200.0
2018-01-05,85800.0,101200.0,85700.0,8318372.0,100000.0
2018-01-08,98000.0,98400.0,92500.0,6352776.0,93800.0
2018-01-09,96500.0,119200.0,93800.0,12734902.0,109000.0
2018-01-10,105000.0,107300.0,97800.0,6588397.0,98000.0
2018-01-11,97600.0,100600.0,95200.0,4115386.0,96700.0
2018-01-12,99800.0,103300.0,97100.0,6806596.0,98100.0
2018-01-15,101400.0,107500.0,99000.0,7308122.0,103900.0
2018-01-16,113200.0,114700.0,102500.0,6163319.0,102900.0
2018-01-17,103400.0,108500.0,100100.0,4786797.0,106900.0
2018-01-18,106900.0,108800.0,104900.0,2975280.0,105200.0
2018-01-19,106300.0,109600.0,100200.0,3473985.0,103000.0
2018-01-22,102600.0,106900.0,100000.0,2103216.0,104100.0
2018-01-23,106900.0,115000.0,105400.0,6011029.0,115000.0
2018-01-24,115500.0,116600.0,110000.0,4417311.0,110500.0
2018-01-25,110700.0,112800.0,107600.0,2508539.0,111500.0
2018-01-26,110300.0,112500.0,109000.0,1882386.0,110000.0
2018-01-29,110300.0,112800.0,109600.0,1844918.0,110000.0
2018-01-30,110500.0,114600.0,110100.0,2989244.0,110100.0
2018-01-31,109000.0,110700.0,105700.0,2340061.0,105900.0
2018-02-01,106600.0,107400.0,99800.0,2669463.0,100300.0
2018-02-02,100000.0,105700.0,98600.0,2460966.0,104200.0
