Date,Open,High,Low,Volume,Close
2003-02-12,12900,12950,12700,461199,12900
2003-02-13,13000,13000,12600,820390,12700
2003-02-14,12650,12700,12450,658123,12550
2003-02-17,12850,13000,12800,1023410,13000
2003-02-18,13000,13550,12950,1602450,13450
2003-02-19,13600,13650,13100,934960,13300
2003-02-20,13100,13450,13100,1106250,13450
2003-02-21,13350,13450,13050,638640,13300
2003-02-24,13300,13550,13300,962654,13400
2003-02-25,13200,13350,12850,1017130,13000
2003-02-26,12850,13000,12750,1084018,12800
2003-02-27,12700,12800,12600,1390411,12600
2003-02-28,12700,12750,12450,1035398,12550
2003-03-03,12400,12750,12400,574360,12750
2003-03-04,12500,12550,12350,618310,12550
2003-03-05,12400,12400,12050,804259,12150
2003-03-06,12200,12300,12050,1136280,12150
2003-03-07,12000,12250,11900,1252393,12000
2003-03-10,11850,11950,11650,719260,11750
2003-03-11,11300,11500,10550,2271750,10600
2003-03-12,10100,10350,9050,11566837,9500
2003-03-13,9500,9710,9350,4919899,9650
2003-03-14,10100,10500,9950,3255200,10300
2003-03-17,10300,10350,9690,2128681,9950
2003-03-18,10400,10450,9990,1545650,10200
2003-03-19,10200,10550,9950,2278364,10000
2003-03-20,10200,11450,10200,3244154,11000
2003-03-21,11150,11400,11100,3147680,11250
2003-03-24,11350,11450,11150,1742800,11350
2003-03-25,10850,11150,10800,2117177,11050
2003-03-26,11100,11200,10900,1856336,10950
2003-03-27,10800,10900,10650,636868,10800
2003-03-28,10650,10750,10400,2185082,10500
2003-03-31,10200,10350,10150,1164870,10300
2003-04-01,10000,10300,9900,1404364,10300
2003-04-02,10300,10300,10000,1674372,10100
2003-04-03,10500,10700,10250,1452961,10350
2003-04-04,10300,11250,10100,1935560,11200
2003-04-07,11450,11600,11100,3168254,11500
2003-04-08,11100,11600,11050,1555588,11400
2003-04-09,11500,11550,10950,1265017,11100
2003-04-10,11000,11300,11000,1593539,11250
2003-04-11,11200,11850,11150,2679808,11700
2003-04-14,11800,11950,11550,1925109,11700
2003-04-15,12050,12050,11700,1152023,11800
2003-04-16,12100,12350,11900,1770356,12200
2003-04-17,12200,12450,11800,943470,12300
2003-04-18,12350,12500,12250,679998,12400
