Date,Open,High,Low,Volume,Close
2018-01-01T00:00:00+00:00,1028000,1029000,1011500,2548.39110011,1023000
2018-01-01T01:00:00+00:00,1022500,1035000,1020000,2349.9732328,1029000
2018-01-01T02:00:00+00:00,1029000,1032500,1025500,1950.01946208,1029000
2018-01-01T03:00:00+00:00,1029000,1045000,1024000,3521.06677314,1040000
2018-01-01T04:00:00+00:00,1040000,1054000,1039000,3568.97794512,1052000
2018-01-01T05:00:00+00:00,1052000,1076000,1048500,4654.22022946,1058000
2018-01-01T06:00:00+00:00,1058000,1064500,1052000,2673.31598846,1063500
2018-01-01T07:00:00+00:00,1064000,1067000,1055500,2843.32232594,1060500
2018-01-01T08:00:00+00:00,1060500,1065000,1038000,2558.94697583,1046500
2018-01-01T09:00:00+00:00,1046000,1056000,1040500,1552.5474399,1052500
2018-01-01T10:00:00+00:00,1052500,1064500,1050000,1648.62533849,1062000
2018-01-01T11:00:00+00:00,1062000,1062000,1039000,3358.70506268,1050000
2018-01-01T12:00:00+00:00,1050000,1065000,1048000,2299.74481154,1063500
2018-01-01T13:00:00+00:00,1063000,1064000,1045500,3001.23141706,1049000
2018-01-01T14:00:00+00:00,1049000,1056500,1033000,3427.42084493,1049000
2018-01-01T15:00:00+00:00,1047000,1062000,1046500,1900.91478218,1059500
2018-01-01T16:00:00+00:00,1058000,1060000,1047500,871.14671234,1050000
2018-01-01T17:00:00+00:00,1050000,1057000,1047000,583.20646449,1049000
2018-01-01T18:00:00+00:00,1049000,1055000,1041500,438.87917794,1042000
2018-01-01T19:00:00+00:00,1042000,1054500,1040000,1018.20295455,1043000
2018-01-01T20:00:00+00:00,1044000,1058000,1041500,840.12814385,1051000
2018-01-01T21:00:00+00:00,1051500,1058000,1050000,644.00292945,1054500
2018-01-01T22:00:00+00:00,1055000,1059000,1050500,740.042124,1051000
2018-01-01T23:00:00+00:00,1051000,1058500,1049500,2322.53892009,1057000
2018-01-02T00:00:00+00:00,1056500,1086000,1051000,3281.39331621,1085000
2018-01-02T01:00:00+00:00,1082000,1218000,1080500,23032.46349877,1195500
2018-01-02T02:00:00+00:00,1195500,1270500,1166500,39782.60885844,1206000
